%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74164.643,297.371,1.158,1.072,-258.967,93.114,0.500
74164.643,297.369,1.079,1.552,-258.984,93.125,0.500
74164.643,297.371,1.000,1.232,-258.967,93.125,0.500
74156.580,297.371,1.158,1.072,-258.967,93.136,0.500
74160.612,297.366,0.921,1.232,-258.967,93.125,0.500
74168.675,297.369,1.000,1.072,-258.967,93.147,0.500
74168.675,297.369,1.000,1.072,-258.984,93.125,0.500
74164.643,297.373,1.000,0.912,-258.951,93.136,0.500
74168.675,297.369,1.079,1.232,-259.000,93.125,0.500
74156.580,297.369,1.000,1.232,-258.951,93.136,0.500
74164.643,297.371,1.000,1.072,-258.967,93.125,0.500
74160.612,297.368,1.158,1.072,-258.967,93.125,0.500
74164.643,297.368,1.000,0.912,-258.951,93.114,0.500
74168.675,297.368,1.079,1.072,-258.967,93.114,0.500
74164.643,297.368,1.237,0.751,-258.935,93.136,0.500
74164.643,297.368,1.000,1.232,-258.984,93.125,0.500
74160.612,297.368,1.158,1.232,-258.967,93.136,0.500
74160.612,297.366,1.000,0.912,-258.967,93.125,0.500
74168.675,297.366,1.237,0.912,-258.967,93.136,0.500
74164.643,297.369,1.079,1.232,-258.984,93.125,0.500
74160.612,297.368,1.158,1.072,-258.967,93.125,0.500
74160.612,297.366,1.158,1.232,-258.967,93.125,0.500
74160.612,297.368,1.158,1.392,-258.967,93.125,0.500
74160.612,297.368,1.158,1.392,-258.967,93.136,0.500
74156.580,297.365,1.079,1.392,-259.000,93.157,0.500
74156.580,297.368,1.158,1.392,-259.000,93.136,0.500
74148.518,297.368,1.237,1.072,-258.935,93.136,0.500
74160.612,297.365,1.079,1.392,-258.984,93.136,0.500
74164.643,297.369,1.158,1.072,-258.984,93.125,0.500
74164.643,297.371,1.000,1.072,-258.951,93.125,0.500
74164.643,297.369,1.079,0.912,-258.967,93.136,0.500
74152.549,297.373,1.079,0.912,-258.984,93.147,0.500
74156.580,297.368,1.079,1.232,-258.967,93.147,0.500
74160.612,297.368,1.079,1.232,-258.984,93.114,0.500
74156.580,297.369,1.158,1.232,-258.967,93.114,0.500
74156.580,297.371,1.158,1.392,-259.000,93.157,0.500
74164.643,297.371,1.079,1.392,-258.984,93.125,0.500
74160.612,297.371,1.079,1.232,-258.984,93.125,0.500
74160.612,297.371,1.158,1.392,-258.951,93.125,0.500
74164.643,297.371,1.000,1.072,-258.984,93.136,0.500
74164.643,297.366,0.921,1.072,-258.984,93.125,0.500
74160.612,297.373,1.079,1.072,-258.967,93.125,0.500
74164.643,297.373,1.000,1.232,-259.000,93.136,0.500
74156.580,297.371,1.000,0.912,-258.967,93.125,0.500
74156.580,297.371,1.158,1.232,-258.967,93.125,0.500
74160.612,297.371,1.237,1.232,-259.000,93.125,0.500
74156.580,297.369,1.158,1.232,-258.967,93.147,0.500
74156.580,297.371,1.079,1.072,-258.967,93.136,0.500
74168.675,297.371,1.000,1.232,-258.951,93.136,0.500
74156.580,297.371,1.079,1.072,-258.984,93.136,0.500
74156.580,297.371,1.079,1.232,-258.984,93.125,0.500
74164.643,297.371,1.079,0.912,-258.967,93.136,0.500
74156.580,297.369,1.000,0.912,-258.984,93.136,0.500
74164.643,297.373,1.079,1.072,-258.935,93.136,0.500
74160.612,297.369,1.079,0.751,-258.951,93.136,0.500
74156.580,297.369,1.000,1.232,-258.967,93.136,0.500
74164.643,297.373,1.000,0.912,-258.951,93.125,0.500
74160.612,297.369,1.158,0.751,-258.984,93.136,0.500
74168.675,297.371,1.158,0.912,-258.951,93.125,0.500
74156.580,297.369,1.000,1.072,-258.984,93.147,0.500
74164.643,297.371,1.000,0.751,-258.984,93.136,0.500
74160.612,297.369,1.158,1.072,-258.984,93.125,0.500
74160.612,297.369,1.079,1.072,-258.967,93.125,0.500
74156.580,297.366,1.079,0.912,-258.967,93.136,0.500
74164.643,297.368,1.079,0.912,-258.984,93.136,0.500
74160.612,297.366,1.079,1.072,-258.967,93.125,0.500
74164.643,297.368,1.000,0.751,-258.984,93.125,0.500
74156.580,297.368,1.000,0.591,-258.967,93.147,0.500
74156.580,297.368,1.000,0.751,-258.967,93.136,0.500
74160.612,297.365,1.000,0.912,-258.984,93.168,0.500
74156.580,297.368,1.079,0.912,-258.984,93.136,0.500
74160.612,297.366,1.000,0.912,-258.951,93.136,0.500
74160.612,297.366,1.079,1.072,-258.984,93.147,0.500
74156.580,297.365,1.079,0.912,-258.984,93.136,0.500
74164.643,297.366,1.000,0.912,-258.984,93.125,0.500
74160.612,297.366,1.000,1.232,-258.967,93.125,0.500
74164.643,297.368,1.000,0.912,-258.984,93.136,0.500
74156.580,297.366,1.158,1.232,-258.967,93.125,0.500
74152.549,297.366,1.158,1.072,-258.951,93.125,0.500
74160.612,297.369,1.079,1.072,-258.984,93.125,0.500
74160.612,297.371,1.000,1.072,-258.984,93.114,0.500
74156.580,297.369,1.079,1.232,-258.984,93.125,0.500
74152.549,297.371,1.000,1.392,-258.967,93.136,0.500
74152.549,297.368,1.158,1.072,-258.951,93.136,0.500
74156.580,297.368,1.000,1.392,-258.935,93.147,0.500
74156.580,297.371,1.000,1.392,-258.951,93.136,0.500
74156.580,297.369,1.000,1.392,-258.967,93.147,0.500
74156.580,297.369,1.079,1.552,-259.000,93.125,0.500
74148.518,297.371,0.921,1.392,-258.967,93.125,0.500
74156.580,297.369,1.158,1.232,-258.984,93.136,0.500
74156.580,297.373,1.158,1.392,-258.967,93.136,0.500
74152.549,297.371,1.237,1.232,-258.967,93.125,0.500
74156.580,297.371,1.000,1.232,-258.984,93.136,0.500
74156.580,297.373,1.079,1.392,-258.984,93.147,0.500
74156.580,297.373,1.158,1.232,-258.967,93.136,0.500
74148.518,297.371,1.079,1.392,-258.984,93.136,0.500
74148.518,297.374,0.921,1.232,-258.984,93.136,0.500
74152.549,297.374,1.079,1.392,-259.000,93.136,0.500
74144.486,297.373,1.079,1.552,-258.984,93.125,0.500
74148.518,297.374,1.079,1.392,-258.984,93.147,0.500
74152.549,297.373,1.079,1.392,-258.967,93.125,0.500
74148.518,297.373,1.000,1.232,-259.000,93.125,0.500
74148.518,297.374,0.921,1.232,-258.951,93.125,0.500
74144.486,297.373,1.000,1.232,-258.951,93.114,0.500
74144.486,297.374,1.079,1.392,-258.984,93.136,0.500
74140.455,297.373,1.000,1.232,-258.967,93.136,0.500
74140.455,297.373,1.079,1.392,-258.984,93.136,0.500
74144.486,297.369,1.158,1.232,-258.951,93.136,0.500
74144.486,297.373,1.079,1.232,-258.984,93.136,0.500
74148.518,297.373,1.158,1.392,-258.967,93.136,0.500
74144.486,297.371,1.158,1.552,-258.951,93.125,0.500
74148.518,297.373,1.237,1.232,-258.967,93.114,0.500
74152.549,297.371,1.158,1.232,-258.984,93.136,0.500
74148.518,297.371,1.079,1.232,-258.984,93.136,0.500
74152.549,297.373,1.079,1.392,-258.935,93.147,0.500
74148.518,297.371,1.079,1.552,-258.967,93.125,0.500
74156.580,297.371,1.000,1.232,-258.951,93.147,0.500
74148.518,297.369,1.158,1.232,-258.967,93.125,0.500
74152.549,297.371,1.158,1.232,-258.984,93.125,0.500
74152.549,297.369,1.158,1.072,-258.967,93.125,0.500
74156.580,297.369,1.079,1.392,-258.951,93.136,0.500
74156.580,297.371,1.079,1.072,-258.951,93.125,0.500
74160.612,297.368,1.158,0.751,-258.967,93.136,0.500
74152.549,297.368,1.079,1.072,-258.967,93.147,0.500
74164.643,297.368,1.000,1.232,-258.984,93.125,0.500
74152.549,297.366,1.158,1.072,-258.984,93.136,0.500
74156.580,297.368,1.079,1.072,-258.967,93.114,0.500
74152.549,297.368,1.079,1.232,-258.967,93.136,0.500
74156.580,297.366,1.158,1.232,-258.967,93.147,0.500
74156.580,297.368,1.079,1.232,-258.984,93.136,0.500
74160.612,297.366,1.237,1.072,-258.951,93.125,0.500
74156.580,297.366,1.158,1.232,-258.967,93.125,0.500
74156.580,297.365,1.158,1.232,-258.951,93.147,0.500
74156.580,297.368,1.079,1.552,-258.984,93.136,0.500
74160.612,297.368,1.079,1.232,-258.967,93.136,0.500
74156.580,297.366,1.237,1.232,-258.984,93.125,0.500
74152.549,297.369,1.000,1.232,-258.967,93.136,0.500
74156.580,297.369,1.079,1.232,-258.967,93.147,0.500
74156.580,297.368,1.079,1.392,-258.951,93.136,0.500
74160.612,297.371,1.158,1.232,-258.935,93.125,0.500
74156.580,297.373,1.158,1.552,-258.967,93.136,0.500
74156.580,297.371,1.079,1.552,-258.967,93.125,0.500
74152.549,297.371,1.079,1.552,-258.967,93.136,0.500
74152.549,297.374,1.000,1.552,-258.984,93.136,0.500
74152.549,297.373,0.921,1.392,-258.984,93.125,0.500
74148.518,297.369,0.921,1.392,-258.967,93.125,0.500
74152.549,297.373,1.000,1.232,-258.984,93.136,0.500
74152.549,297.373,0.921,1.232,-258.967,93.125,0.500
74156.580,297.371,0.921,1.392,-258.984,93.125,0.500
74148.518,297.369,0.842,1.232,-258.984,93.125,0.500
74148.518,297.373,0.763,1.232,-258.984,93.136,0.500
74148.518,297.374,0.921,1.072,-258.967,93.114,0.500
74152.549,297.374,1.000,1.552,-258.967,93.136,0.500
74152.549,297.374,0.921,1.232,-258.967,93.136,0.500
74148.518,297.373,1.079,1.232,-258.984,93.136,0.500
74148.518,297.374,0.842,1.232,-258.951,93.136,0.500
74140.455,297.373,0.921,1.072,-259.000,93.125,0.500
74144.486,297.373,1.000,0.912,-258.967,93.136,0.500
74148.518,297.371,1.000,1.072,-258.935,93.136,0.500
74144.486,297.374,1.158,1.072,-258.935,93.136,0.500
74148.518,297.373,0.921,0.912,-258.951,93.125,0.500
74140.455,297.376,1.158,0.912,-258.967,93.125,0.500
74148.518,297.373,1.079,0.591,-259.000,93.136,0.500
74152.549,297.374,1.079,0.912,-258.967,93.125,0.500
74148.518,297.374,1.158,1.072,-258.967,93.136,0.500
74148.518,297.374,1.000,1.072,-258.918,93.125,0.500
74148.518,297.373,1.158,0.912,-258.967,93.136,0.500
74156.580,297.371,1.158,1.072,-258.967,93.125,0.500
74148.518,297.371,1.079,0.912,-258.967,93.136,0.500
74152.549,297.373,1.158,0.912,-258.951,93.125,0.500
74156.580,297.371,1.158,1.072,-258.984,93.136,0.500
74152.549,297.371,1.395,0.912,-258.951,93.136,0.500
74152.549,297.371,1.237,1.072,-258.984,93.114,0.500
74148.518,297.371,1.316,1.232,-258.967,93.125,0.500
74156.580,297.371,1.316,0.912,-258.967,93.125,0.500
74156.580,297.369,1.316,1.232,-258.967,93.114,0.500
74156.580,297.371,1.316,1.232,-258.984,93.136,0.500
74160.612,297.369,1.316,1.072,-258.967,93.136,0.500
74160.612,297.373,1.316,1.232,-258.967,93.147,0.500
74164.643,297.371,1.237,1.392,-258.984,93.136,0.500
74156.580,297.371,1.237,1.392,-258.984,93.136,0.500
74160.612,297.371,1.237,1.232,-258.967,93.125,0.500
74164.643,297.369,1.079,1.552,-258.951,93.136,0.500
74168.675,297.373,1.158,1.392,-258.951,93.136,0.500
74156.580,297.374,1.237,1.232,-258.984,93.136,0.500
74164.643,297.368,1.237,1.232,-258.967,93.114,0.500
74156.580,297.371,1.158,1.232,-258.967,93.136,0.500
74160.612,297.373,1.237,1.232,-258.951,93.136,0.500
74160.612,297.371,1.158,1.712,-258.984,93.125,0.500
74156.580,297.371,1.079,1.712,-258.951,93.147,0.500
74160.612,297.371,1.158,1.392,-258.967,93.136,0.500
74156.580,297.371,1.158,1.872,-258.984,93.125,0.500
74152.549,297.369,1.079,1.392,-258.951,93.136,0.500
74148.518,297.371,1.158,1.552,-258.984,93.125,0.500
74156.580,297.371,1.000,1.552,-258.967,93.125,0.500
74148.518,297.369,1.079,1.232,-258.967,93.136,0.500
74148.518,297.373,1.000,1.232,-258.967,93.125,0.500
74152.549,297.371,0.921,1.232,-258.984,93.125,0.500
74156.580,297.371,1.079,1.392,-258.951,93.136,0.500
74144.486,297.371,1.079,1.232,-258.967,93.114,0.500
74140.455,297.371,1.079,1.232,-258.951,93.136,0.500
74144.486,297.371,0.921,1.392,-258.984,93.104,0.500
74148.518,297.369,1.000,1.232,-259.000,93.136,0.500
74148.518,297.369,0.842,1.232,-258.967,93.147,0.500
74152.549,297.369,1.079,1.552,-258.967,93.125,0.500
74148.518,297.369,0.921,1.232,-258.951,93.136,0.500
74152.549,297.373,1.000,1.392,-258.967,93.136,0.500
74144.486,297.371,1.000,1.392,-258.951,93.136,0.500
74152.549,297.373,1.000,1.712,-259.000,93.147,0.500
74156.580,297.368,1.000,1.392,-258.951,93.114,0.500
74148.518,297.369,1.000,1.552,-258.951,93.125,0.500
74152.549,297.371,1.000,1.232,-258.984,93.147,0.500
74160.612,297.369,1.000,1.552,-258.935,93.136,0.500
74152.549,297.371,0.921,1.392,-258.967,93.125,0.500
74148.518,297.371,0.921,1.232,-258.951,93.114,0.500
74152.549,297.373,0.921,1.232,-258.967,93.125,0.500
74156.580,297.369,1.000,0.912,-258.984,93.136,0.500
74156.580,297.371,1.000,1.232,-258.984,93.136,0.500
74160.612,297.371,1.000,1.232,-258.967,93.136,0.500
74160.612,297.371,0.921,1.072,-258.967,93.125,0.500
74152.549,297.371,1.000,1.072,-258.984,93.136,0.500
74156.580,297.373,1.079,1.072,-258.967,93.147,0.500
74156.580,297.371,1.079,1.072,-258.951,93.125,0.500
74152.549,297.371,1.079,1.232,-258.967,93.136,0.500
74152.549,297.371,1.237,1.072,-258.951,93.114,0.500
74160.612,297.374,1.158,1.072,-258.967,93.125,0.500
74152.549,297.373,1.158,1.072,-258.967,93.114,0.500
74156.580,297.371,1.000,1.072,-258.967,93.147,0.500
74156.580,297.371,1.158,1.072,-258.967,93.125,0.500
74156.580,297.373,1.237,1.072,-258.951,93.114,0.500
74148.518,297.373,1.158,1.072,-258.984,93.125,0.500
74160.612,297.373,1.158,1.072,-258.967,93.136,0.500
74160.612,297.371,1.079,0.912,-258.967,93.136,0.500
74164.643,297.371,1.079,1.232,-258.984,93.136,0.500
74148.518,297.373,1.079,0.912,-258.984,93.136,0.500
74152.549,297.373,1.000,1.072,-258.967,93.136,0.500
74152.549,297.373,1.079,1.232,-258.984,93.125,0.500
74156.580,297.371,0.921,1.072,-258.967,93.125,0.500
74164.643,297.371,0.921,1.232,-258.967,93.136,0.500
74160.612,297.369,1.000,1.232,-258.967,93.125,0.500
74156.580,297.374,0.842,1.232,-258.935,93.147,0.500
74160.612,297.371,1.000,1.232,-258.951,93.136,0.500
74160.612,297.373,0.921,1.072,-259.016,93.125,0.500
74160.612,297.371,1.000,1.232,-258.951,93.125,0.500
74152.549,297.369,0.921,1.232,-258.984,93.136,0.500
74156.580,297.369,0.842,1.392,-258.984,93.125,0.500
74152.549,297.373,0.921,1.232,-258.951,93.125,0.500
74156.580,297.371,0.921,1.072,-258.967,93.114,0.500
74152.549,297.369,1.000,1.072,-258.951,93.125,0.500
74152.549,297.371,0.921,1.232,-258.967,93.136,0.500
74144.486,297.371,0.921,1.072,-258.967,93.125,0.500
74160.612,297.369,0.921,0.912,-258.951,93.136,0.500
74152.549,297.371,1.000,1.552,-258.984,93.125,0.500
74156.580,297.369,0.921,1.232,-258.967,93.125,0.500
74148.518,297.369,0.842,1.232,-258.951,93.125,0.500
74152.549,297.373,0.921,1.232,-258.984,93.125,0.500
74156.580,297.368,0.921,1.072,-258.951,93.125,0.500
74156.580,297.371,0.842,0.912,-258.967,93.136,0.500
74160.612,297.369,1.000,1.072,-258.951,93.136,0.500
74160.612,297.368,0.921,1.072,-258.967,93.125,0.500
74156.580,297.368,1.079,0.912,-258.984,93.147,0.500
74156.580,297.369,1.000,1.072,-258.967,93.136,0.500
74156.580,297.368,1.079,1.072,-258.984,93.147,0.500
74152.549,297.368,1.000,0.912,-258.984,93.114,0.500
74164.643,297.369,1.079,1.072,-258.967,93.125,0.500
74160.612,297.368,1.079,0.751,-258.951,93.136,0.500
74168.675,297.366,1.158,1.072,-258.967,93.125,0.500
74168.675,297.369,1.079,1.072,-258.967,93.125,0.500
74160.612,297.366,1.079,1.072,-258.951,93.136,0.500
74160.612,297.369,1.158,1.232,-258.951,93.125,0.500
74164.643,297.368,1.079,1.072,-258.967,93.125,0.500
74164.643,297.366,1.237,0.751,-258.967,93.114,0.500
74164.643,297.366,1.158,0.912,-258.967,93.125,0.500
74164.643,297.366,1.316,1.072,-258.967,93.125,0.500
74164.643,297.365,1.237,1.072,-258.951,93.136,0.500
74160.612,297.366,1.316,1.072,-258.951,93.136,0.500
74156.580,297.365,1.237,0.912,-258.951,93.125,0.500
74156.580,297.366,1.158,0.751,-258.951,93.125,0.500
74152.549,297.371,1.158,1.072,-258.935,93.125,0.500
74164.643,297.366,1.237,1.232,-258.967,93.136,0.500
74160.612,297.366,1.158,1.072,-258.967,93.136,0.500
74156.580,297.368,1.237,1.232,-258.951,93.125,0.500
74160.612,297.366,1.237,1.072,-258.935,93.147,0.500
74160.612,297.369,1.158,0.912,-258.967,93.125,0.500
74152.549,297.369,1.158,0.751,-258.984,93.147,0.500
74148.518,297.373,1.237,1.072,-258.951,93.125,0.500
74156.580,297.371,1.158,0.912,-258.967,93.136,0.500
74160.612,297.369,1.079,1.232,-258.967,93.147,0.500
74152.549,297.369,1.158,1.072,-258.967,93.136,0.500
74152.549,297.371,1.000,1.072,-258.951,93.125,0.500
74148.518,297.369,1.158,1.232,-258.951,93.114,0.500
74148.518,297.371,0.921,1.392,-258.984,93.147,0.500
74152.549,297.373,1.158,1.072,-258.984,93.136,0.500
74152.549,297.371,1.079,1.232,-258.951,93.125,0.500
74148.518,297.371,0.921,1.072,-258.967,93.136,0.500
74148.518,297.374,1.000,1.392,-258.951,93.136,0.500
74144.486,297.373,1.079,1.232,-258.951,93.114,0.500
74148.518,297.374,1.000,1.232,-258.951,93.125,0.500
74144.486,297.373,1.000,1.392,-258.967,93.136,0.500
74144.486,297.373,0.921,1.552,-258.967,93.136,0.500
74148.518,297.371,1.079,1.232,-258.984,93.125,0.500
74148.518,297.369,1.079,1.232,-258.984,93.136,0.500
74152.549,297.369,0.921,1.232,-258.951,93.147,0.500
74148.518,297.371,1.000,1.232,-258.967,93.125,0.500
74148.518,297.369,0.921,1.392,-258.967,93.114,0.500
74152.549,297.373,0.842,1.552,-258.951,93.125,0.500
74148.518,297.373,1.158,1.232,-258.984,93.125,0.500
74144.486,297.371,1.079,1.232,-258.967,93.125,0.500
74144.486,297.369,1.079,1.392,-258.984,93.136,0.500
74144.486,297.369,1.079,1.232,-258.984,93.114,0.500
74144.486,297.368,1.079,1.392,-258.967,93.136,0.500
74156.580,297.369,1.079,1.232,-258.967,93.136,0.500
74148.518,297.371,1.079,1.232,-258.967,93.125,0.500
74152.549,297.368,1.237,1.232,-258.967,93.147,0.500
74156.580,297.368,1.158,1.392,-258.951,93.136,0.500
74152.549,297.368,1.237,1.552,-258.951,93.125,0.500
74148.518,297.371,1.158,1.232,-258.967,93.114,0.500
74156.580,297.368,1.316,1.232,-258.951,93.125,0.500
